E(l,N) & nk(l,N) & t(N,l): 
     38174: Number of levels
       549  0.000000         0     11390   1.72E+01
       550  0.238270         1     11391   1.80E-08
       551  0.275090         1     11392   4.26E-11
       552  1.507560         2     11394   9.70E-13
       553  1.536000         2     11396   1.90E-14
       554  1.615600         3     11399   9.90E-14
       555  2.794700         1     11400   9.70E-14
       556  4.032900         3     11403   3.50E-14
       557  4.140000         1     11404   2.00E-13
       558  4.197100         2     11406   2.40E-13
       559  4.379100         2     11408   8.00E-14
       560  4.549000         2     11410   5.50E-14
       561  4.600000         2     11412   1.10E-13
       562  4.635000         1     11413   7.00E-13
       563  4.712000        14     11427   0.00E+00
       564  4.783000        15     11442   0.00E+00
       565  5.092000        16     11458   0.00E+00
       566  5.351000        17     11475   0.00E+00
       567  5.424000        18     11493   0.00E+00
       568  5.463000        19     11512   0.00E+00
       569  5.539000        20     11532   0.00E+00
       570  5.832000        21     11553   0.00E+00
       571  6.013000        22     11575   0.00E+00
       572  6.092000        23     11598   0.00E+00
       573  6.149000        24     11622   0.00E+00
       574  6.288000        25     11647   0.00E+00
       575  6.437000        26     11673   0.00E+00
       576  0.000000         0     11673  -1.00E+00
       577  1.633670         1     11674   7.30E-13
       578  4.247700         1     11675   6.40E-14
       579  4.966510         2     11677   3.30E-12
       580  5.621400         3     11680   1.39E-13
       581  5.787701         2     11682   1.63E-17
       582  6.706000         6     11688   0.00E+00
       583  6.725000         1     11689   2.40E-20
       584  7.004000         4     11693   3.05E-13
       585  7.156300         2     11695   5.56E-20
       586  7.191000         1     11696   1.34E-19
       587  7.421900         3     11699   3.02E-20
       588  7.833400         2     11701   2.28E-19
       589  8.453000         1     11702   3.51E-17
       590  8.700001        14     11716   5.70E-22
       591  8.708000         2     11718   2.17E-19
       592  8.777600         1     11719   4.15E-18
       593  8.820001        17     11736   4.56E-19
       594  8.854000        18     11754   2.40E-20
       595  9.000000        19     11773   5.70E-22
       596  9.031000         1     11774   1.52E-19
       597  9.116000         3     11777   1.43E-19
       598  9.196000        22     11799   0.00E+00
       599  9.318001         1     11800   0.00E+00
       600  9.487000         1     11801   1.57E-20
       601  9.873000         5     11806   0.00E+00
       602  9.935000         2     11808   2.43E-14
       603  9.990001         1     11809   2.94E-21
       604 10.262000        28     11837   3.15E-21
       605 10.273201         6     11843   1.52E-18
       606 10.406000        30     11873   5.70E-21
       607 10.553000        31     11904   2.85E-20
       608 10.584001        32     11936   1.90E-20
       609 10.609000         2     11938   1.60E-14
       610 10.694000         2     11940   0.00E+00
       611 10.800000        35     11975   1.30E-21
       612 10.840000        36     12011   1.01E-20
       613 10.843000        37     12048   3.51E-20
       614 10.884001         2     12050   2.10E-14
       615 10.917001        39     12089   0.00E+00
       616 10.940001        40     12129   0.00E+00
       617 10.970000        41     12170   7.87E-22
       618 11.020000        42     12212   1.90E-20
       619 11.090000         2     12214   9.12E-19
       620 11.116000        44     12258   0.00E+00
       621 11.240001        45     12303   2.61E-21
       622 11.262300         2     12305   0.00E+00
       623 11.270000         5     12310   1.52E-18
       624 11.320001        48     12358   1.14E-20
       625  0.000000         0     12358  -1.00E+00
       626  0.350727         1     12359   7.13E-12
       627  1.745910         2     12361   5.20E-14
       628  2.788230         2     12363   8.10E-11
       629  2.794160         1     12364   5.50E-15
       630  2.866600         2     12366   4.00E-14
       631  3.662640         3     12369   6.50E-14
       632  3.735590         3     12372   1.00E-14
       633  3.883960         4     12376   2.70E-14
       634  4.431800         2     12378   2.20E-14
       635  4.525860         3     12381   7.00E-15
       636  4.684560         3     12384   1.10E-14
       637  4.725340         2     12386   7.00E-15
       638  5.335200         3     12389   7.00E-15
       639  5.431800         3     12392   8.00E-15
       640  5.549800         6     12398   2.80E-14
       641  5.630800         4     12402   7.00E-15
       642  5.689770         3     12405   6.00E-15
       643  5.773700         2     12407   1.20E-14
       644  5.818700         7     12414   2.40E-14
       645  5.820900         2     12416   5.50E-14
       646  5.992610         2     12418   1.30E-14
       647  6.033300         4     12422   1.90E-14
       648  6.175200         4     12426   9.00E-15
       649  6.260300         2     12428   1.40E-14
       650  6.266700         4     12432   2.40E-14
       651  6.411900         1     12433   0.00E+00
       652  6.448300         2     12435   1.40E-14
       653  6.543500         1     12436   0.00E+00
       654  6.554201         3     12439   1.50E-14
       655  6.607700         2     12441   7.00E-15
       656  6.639800         4     12445   1.50E-14
       657  6.749300         3     12448   1.00E-14
       658  6.857000        33     12481   0.00E+00
       659  6.900500        34     12515   0.00E+00
       660  7.006701         5     12520   1.20E-14
       661  7.022601         1     12521   1.30E-14
       662  7.042100         4     12525   0.00E+00
       663  7.109000        38     12563   0.00E+00
       664  7.154000        39     12602   0.00E+00
       665  7.211000        40     12642   4.26E-21
       666  7.226000        41     12683   0.00E+00
       667  7.294000        42     12725   0.00E+00
       668  7.320000        43     12768   0.00E+00
       669  7.356900         2     12770   8.00E-15
       670  7.422800         2     12772   0.00E+00
       671  7.465000        46     12818   0.00E+00
       672  7.547000        47     12865   0.00E+00
       673  7.600000        48     12913   0.00E+00
       674  7.627000        49     12962   3.26E-20
       675  7.649100         4     12966   1.00E-14
       676  7.740000        51     13017   0.00E+00
       677  7.810000        52     13069   0.00E+00
       678  7.960300         1     13070   0.00E+00
       679  7.979001        54     13124   7.60E-20
       680  7.982100         3     13127   0.00E+00
       681  8.008000        56     13183   1.43E-20
       682  8.062000        57     13240   5.70E-20
       683  8.154901         3     13243   2.10E-14
       684  8.222200         1     13244   0.00E+00
       685  8.241200         2     13246   1.00E-14
       686  8.287001        61     13307   0.00E+00
       687  8.303000        62     13369   1.69E-20
       688  8.360001        63     13432   4.56E-20
       689  8.402000        64     13496   0.00E+00
       690  8.430000        65     13561   0.00E+00
       691  8.465000        66     13627   0.00E+00
       692  8.522000        67     13694   7.60E-20
       693  8.591001        68     13762   1.20E-20
       694  8.664500         1     13763   0.00E+00
       695  8.680000        70     13833   8.45E-21
